이름,8시간 미만,8시간,9시간,10시간,11시간 이상,야근 없음,야근 1일 미만,야근 1일,야근 2일,야근 3일 이상,주말 근무 없음,주말 근무 1일 미만,주말 근무 1일,주말 근무 2일,주말 근무 3일 이상,휴가 0-7일,휴가 8-14일,휴가 15-21일,휴가 22-29일,휴가 30일 이상,업무일정 조정 자유,업무일정 조정 상황따라,업무일정 조정 눈치,업무일정 조정 제한적,업무일정 조정 어려움,원격 자유,원격 별도 신청,원격 눈치,원격 제한적,원격 어려움
(주)한빛자산관리대부,0,18,27,18,36,18,9,9,9,54,63,18,0,0,18,27,63,9,0,0,0,45,9,18,27,0,9,9,18,63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대하이카손해사정(주),0,25,62,12,0,0,25,12,50,12,75,12,0,12,0,12,50,37,0,0,0,25,0,25,50,0,0,37,50,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전북은행(주),0,0,75,25,0,25,50,0,25,0,100,0,0,0,0,50,50,0,0,0,0,50,0,0,50,0,0,0,0,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)바로크레디트대부,0,50,0,50,0,16,0,33,33,16,100,0,0,0,0,50,33,16,0,0,33,0,0,16,50,0,0,0,33,66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아이비케이투자증권(주),0,15,53,30,0,7,7,30,30,23,66,25,8,0,0,15,76,7,0,0,0,38,38,15,7,8,16,41,25,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아이비케이캐피탈(주),0,37,37,12,12,12,0,25,37,25,87,0,0,12,0,75,25,0,0,0,0,12,37,37,12,0,0,0,25,75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중국은행서울지점,0,60,40,0,0,20,20,40,0,20,60,0,0,40,0,0,60,20,20,0,0,100,0,0,0,0,0,20,40,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)한국거래소,40,40,20,0,0,40,0,40,0,20,100,0,0,0,0,40,40,20,0,0,60,20,0,20,0,40,0,20,0,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엠캐피탈(주),11,22,44,0,22,0,44,11,11,33,88,11,0,0,0,11,66,22,0,0,33,33,0,0,33,0,0,55,11,33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미즈호코퍼레이트은행서울지점,25,50,25,0,0,25,25,25,25,0,100,0,0,0,0,25,25,0,25,25,25,75,0,0,0,25,0,0,50,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)오에스비저축은행,0,40,60,0,0,60,20,20,0,0,80,0,20,0,0,20,0,80,0,0,40,60,0,0,0,0,80,0,20,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
디지비캐피탈(주),0,37,50,12,0,0,75,0,12,12,50,50,0,0,0,12,50,37,0,0,25,37,12,25,0,12,25,25,25,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
글로벌텍스프리(주),11,55,22,0,11,66,22,0,0,11,88,0,0,0,11,22,55,22,0,0,33,22,22,11,11,0,0,0,22,77
